,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
3051,23-24,738.0,1.0,Holdingford Public School District,1.0,739.0,1.0,Kimball Public School District
3052,23-24,738.0,1.0,Holdingford Public School District,1.0,740.0,1.0,Melrose Public School District
3053,23-24,738.0,1.0,Holdingford Public School District,85.0,742.0,1.0,St. Cloud Public School District
3054,23-24,738.0,1.0,Holdingford Public School District,47.0,745.0,1.0,Albany Public School District
3055,23-24,738.0,1.0,Holdingford Public School District,67.0,748.0,1.0,Sartell-St. Stephen School District
3056,23-24,739.0,1.0,Kimball Public School District,23.0,463.0,1.0,Eden Valley-Watkins School District
3057,23-24,739.0,1.0,Kimball Public School District,45.0,465.0,1.0,Litchfield Public School District
3058,23-24,739.0,1.0,Kimball Public School District,2.0,740.0,1.0,Melrose Public School District
3059,23-24,739.0,1.0,Kimball Public School District,114.0,742.0,1.0,St. Cloud Public School District
3060,23-24,739.0,1.0,Kimball Public School District,6.0,750.0,1.0,ROCORI Public School District
3061,23-24,739.0,1.0,Kimball Public School District,21.0,876.0,1.0,Annandale Public School District
3062,23-24,739.0,1.0,Kimball Public School District,1.0,882.0,1.0,Monticello Public School District
3063,23-24,740.0,1.0,Melrose Public School District,2.0,487.0,1.0,Upsala Public School District
3064,23-24,740.0,1.0,Melrose Public School District,1.0,738.0,1.0,Holdingford Public School District
3065,23-24,740.0,1.0,Melrose Public School District,3.0,742.0,1.0,St. Cloud Public School District
3066,23-24,740.0,1.0,Melrose Public School District,68.0,743.0,1.0,Sauk Centre Public School District
3067,23-24,740.0,1.0,Melrose Public School District,12.0,745.0,1.0,Albany Public School District
3068,23-24,740.0,1.0,Melrose Public School District,1.0,748.0,1.0,Sartell-St. Stephen School District
3069,23-24,740.0,1.0,Melrose Public School District,1.0,2364.0,1.0,Belgrade-Brooten-Elrosa Public School District
3070,23-24,740.0,1.0,Melrose Public School District,49.0,2753.0,1.0,Long Prairie-Grey Eagle School District
3071,23-24,741.0,1.0,Paynesville Area Schools,45.0,345.0,1.0,New London-Spicer School District
3072,23-24,741.0,1.0,Paynesville Area Schools,1.0,347.0,1.0,Willmar Public School District
3073,23-24,741.0,1.0,Paynesville Area Schools,34.0,463.0,1.0,Eden Valley-Watkins School District
3074,23-24,741.0,1.0,Paynesville Area Schools,1.0,739.0,1.0,Kimball Public School District
3075,23-24,741.0,1.0,Paynesville Area Schools,12.0,740.0,1.0,Melrose Public School District
3076,23-24,741.0,1.0,Paynesville Area Schools,12.0,745.0,1.0,Albany Public School District
3077,23-24,741.0,1.0,Paynesville Area Schools,1.0,750.0,1.0,ROCORI Public School District
3078,23-24,741.0,1.0,Paynesville Area Schools,1.0,2180.0,1.0,MACCRAY School District
3079,23-24,741.0,1.0,Paynesville Area Schools,18.0,2364.0,1.0,Belgrade-Brooten-Elrosa Public School District
3080,23-24,741.0,1.0,Paynesville Area Schools,18.0,2396.0,1.0,A.C.G.C. Public School District
3081,23-24,742.0,1.0,St. Cloud Public School District,40.0,47.0,1.0,Sauk Rapids-Rice Public Schools
3082,23-24,742.0,1.0,St. Cloud Public School District,4.0,51.0,1.0,Foley Public School District
3083,23-24,742.0,1.0,St. Cloud Public School District,1.0,463.0,1.0,Eden Valley-Watkins School District
3084,23-24,742.0,1.0,St. Cloud Public School District,1.0,465.0,1.0,Litchfield Public School District
3085,23-24,742.0,1.0,St. Cloud Public School District,1.0,477.0,1.0,Princeton Public School District
3086,23-24,742.0,1.0,St. Cloud Public School District,10.0,726.0,1.0,Becker Public School District
3087,23-24,742.0,1.0,St. Cloud Public School District,1.0,738.0,1.0,Holdingford Public School District
3088,23-24,742.0,1.0,St. Cloud Public School District,2.0,739.0,1.0,Kimball Public School District
3089,23-24,742.0,1.0,St. Cloud Public School District,2.0,741.0,1.0,Paynesville Area Schools
3090,23-24,742.0,1.0,St. Cloud Public School District,4.0,745.0,1.0,Albany Public School District
3091,23-24,742.0,1.0,St. Cloud Public School District,47.0,748.0,1.0,Sartell-St. Stephen School District
3092,23-24,742.0,1.0,St. Cloud Public School District,10.0,750.0,1.0,ROCORI Public School District
3093,23-24,742.0,1.0,St. Cloud Public School District,8.0,876.0,1.0,Annandale Public School District
3094,23-24,742.0,1.0,St. Cloud Public School District,1.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
3095,23-24,742.0,1.0,St. Cloud Public School District,3.0,882.0,1.0,Monticello Public School District
3096,23-24,742.0,1.0,St. Cloud Public School District,2.0,885.0,1.0,St. Michael-Albertville School District
3097,23-24,742.0,1.0,St. Cloud Public School District,3.0,912.0,1.0,Milaca Public School District
3098,23-24,743.0,1.0,Sauk Centre Public School District,2.0,206.0,1.0,Alexandria Public School District
3099,23-24,743.0,1.0,Sauk Centre Public School District,10.0,213.0,1.0,Osakis Public School District
3100,23-24,743.0,1.0,Sauk Centre Public School District,1.0,486.0,1.0,Swanville Public School District
3101,23-24,743.0,1.0,Sauk Centre Public School District,44.0,740.0,1.0,Melrose Public School District
3102,23-24,743.0,1.0,Sauk Centre Public School District,1.0,787.0,1.0,Browerville Public School District
3103,23-24,743.0,1.0,Sauk Centre Public School District,10.0,2149.0,1.0,Minnewaska School District
3104,23-24,743.0,1.0,Sauk Centre Public School District,13.0,2364.0,1.0,Belgrade-Brooten-Elrosa Public School District
3105,23-24,743.0,1.0,Sauk Centre Public School District,44.0,2753.0,1.0,Long Prairie-Grey Eagle School District
3106,23-24,745.0,1.0,Albany Public School District,1.0,482.0,1.0,Little Falls Community Schools
3107,23-24,745.0,1.0,Albany Public School District,3.0,485.0,1.0,Royalton Public School District
3108,23-24,745.0,1.0,Albany Public School District,12.0,487.0,1.0,Upsala Public School District
3109,23-24,745.0,1.0,Albany Public School District,67.0,738.0,1.0,Holdingford Public School District
3110,23-24,745.0,1.0,Albany Public School District,67.0,740.0,1.0,Melrose Public School District
3111,23-24,745.0,1.0,Albany Public School District,13.0,741.0,1.0,Paynesville Area Schools
3112,23-24,745.0,1.0,Albany Public School District,73.0,742.0,1.0,St. Cloud Public School District
3113,23-24,745.0,1.0,Albany Public School District,1.0,748.0,1.0,Sartell-St. Stephen School District
3114,23-24,745.0,1.0,Albany Public School District,1.0,750.0,1.0,ROCORI Public School District
3115,23-24,745.0,1.0,Albany Public School District,2.0,876.0,1.0,Annandale Public School District
3116,23-24,745.0,1.0,Albany Public School District,1.0,2753.0,1.0,Long Prairie-Grey Eagle School District
3117,23-24,748.0,1.0,Sartell-St. Stephen School District,36.0,47.0,1.0,Sauk Rapids-Rice Public Schools
3118,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,51.0,1.0,Foley Public School District
3119,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,316.0,1.0,Greenway Public School District
3120,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,463.0,1.0,Eden Valley-Watkins School District
3121,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,465.0,1.0,Litchfield Public School District
3122,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,485.0,1.0,Royalton Public School District
3123,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,728.0,1.0,Elk River Public School District
3124,23-24,748.0,1.0,Sartell-St. Stephen School District,12.0,738.0,1.0,Holdingford Public School District
3125,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,739.0,1.0,Kimball Public School District
3126,23-24,748.0,1.0,Sartell-St. Stephen School District,98.0,742.0,1.0,St. Cloud Public School District
3127,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,745.0,1.0,Albany Public School District
3128,23-24,748.0,1.0,Sartell-St. Stephen School District,1.0,750.0,1.0,ROCORI Public School District
3129,23-24,748.0,1.0,Sartell-St. Stephen School District,2.0,876.0,1.0,Annandale Public School District
3130,23-24,750.0,1.0,ROCORI Public School District,2.0,47.0,1.0,Sauk Rapids-Rice Public Schools
3131,23-24,750.0,1.0,ROCORI Public School District,1.0,279.0,1.0,Osseo Public School District
3132,23-24,750.0,1.0,ROCORI Public School District,1.0,345.0,1.0,New London-Spicer School District
3133,23-24,750.0,1.0,ROCORI Public School District,33.0,463.0,1.0,Eden Valley-Watkins School District
3134,23-24,750.0,1.0,ROCORI Public School District,2.0,465.0,1.0,Litchfield Public School District
3135,23-24,750.0,1.0,ROCORI Public School District,2.0,738.0,1.0,Holdingford Public School District
3136,23-24,750.0,1.0,ROCORI Public School District,16.0,739.0,1.0,Kimball Public School District
3137,23-24,750.0,1.0,ROCORI Public School District,1.0,740.0,1.0,Melrose Public School District
3138,23-24,750.0,1.0,ROCORI Public School District,19.0,741.0,1.0,Paynesville Area Schools
3139,23-24,750.0,1.0,ROCORI Public School District,608.0,742.0,1.0,St. Cloud Public School District
3140,23-24,750.0,1.0,ROCORI Public School District,22.0,745.0,1.0,Albany Public School District
3141,23-24,750.0,1.0,ROCORI Public School District,1.0,748.0,1.0,Sartell-St. Stephen School District
3142,23-24,750.0,1.0,ROCORI Public School District,1.0,876.0,1.0,Annandale Public School District
3143,23-24,750.0,1.0,ROCORI Public School District,3.0,2396.0,1.0,A.C.G.C. Public School District
3144,23-24,756.0,1.0,Blooming Prairie Public School District,23.0,203.0,1.0,Hayfield Public School District
3145,23-24,756.0,1.0,Blooming Prairie Public School District,40.0,241.0,1.0,Albert Lea Public School District
3146,23-24,756.0,1.0,Blooming Prairie Public School District,89.0,492.0,1.0,Austin Public School District
3147,23-24,756.0,1.0,Blooming Prairie Public School District,3.0,500.0,1.0,Southland Public School District
3148,23-24,756.0,1.0,Blooming Prairie Public School District,2.0,534.0,1.0,Stewartville Public School District
3149,23-24,756.0,1.0,Blooming Prairie Public School District,1.0,535.0,1.0,Rochester Public School District
3150,23-24,756.0,1.0,Blooming Prairie Public School District,19.0,761.0,1.0,Owatonna Public School District
3151,23-24,756.0,1.0,Blooming Prairie Public School District,3.0,2125.0,1.0,Triton School District
3152,23-24,756.0,1.0,Blooming Prairie Public School District,16.0,2168.0,1.0,NRHEG School District
3153,23-24,756.0,1.0,Blooming Prairie Public School District,1.0,2886.0,1.0,Glenville-Emmons School District
3154,23-24,761.0,1.0,Owatonna Public School District,18.0,1.0,3.0,Minneapolis Public School District
3155,23-24,761.0,1.0,Owatonna Public School District,2.0,2.0,1.0,Hill City Public School District
3156,23-24,761.0,1.0,Owatonna Public School District,1.0,11.0,1.0,Anoka-Hennepin Public School District
3157,23-24,761.0,1.0,Owatonna Public School District,2.0,77.0,1.0,Mankato Public School District
3158,23-24,761.0,1.0,Owatonna Public School District,1.0,152.0,1.0,Moorhead Area Public School District
3159,23-24,761.0,1.0,Owatonna Public School District,2.0,191.0,1.0,Burnsville-Eagan-Savage School District
3160,23-24,761.0,1.0,Owatonna Public School District,1.0,192.0,1.0,Farmington Public School District
3161,23-24,761.0,1.0,Owatonna Public School District,4.0,194.0,1.0,Lakeville Area Schools
3162,23-24,761.0,1.0,Owatonna Public School District,2.0,196.0,1.0,Rosemount-Apple Valley-Eagan
3163,23-24,761.0,1.0,Owatonna Public School District,5.0,241.0,1.0,Albert Lea Public School District
3164,23-24,761.0,1.0,Owatonna Public School District,1.0,279.0,1.0,Osseo Public School District
3165,23-24,761.0,1.0,Owatonna Public School District,1.0,280.0,1.0,Richfield Public School District
3166,23-24,761.0,1.0,Owatonna Public School District,4.0,535.0,1.0,Rochester Public School District
3167,23-24,761.0,1.0,Owatonna Public School District,1.0,621.0,1.0,Mounds View Public School District
3168,23-24,761.0,1.0,Owatonna Public School District,2.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
3169,23-24,761.0,1.0,Owatonna Public School District,2.0,624.0,1.0,White Bear Lake School District
3170,23-24,761.0,1.0,Owatonna Public School District,29.0,625.0,1.0,Saint Paul Public Schools
3171,23-24,761.0,1.0,Owatonna Public School District,11.0,656.0,1.0,Faribault Public School District
3172,23-24,761.0,1.0,Owatonna Public School District,1.0,659.0,1.0,Northfield Public School District
3173,23-24,761.0,1.0,Owatonna Public School District,1.0,709.0,1.0,Duluth Public School District
3174,23-24,761.0,1.0,Owatonna Public School District,1.0,719.0,1.0,Prior Lake-Savage Area Schools
3175,23-24,761.0,1.0,Owatonna Public School District,16.0,756.0,1.0,Blooming Prairie Public School District
3176,23-24,761.0,1.0,Owatonna Public School District,43.0,763.0,1.0,Medford Public School District
3177,23-24,761.0,1.0,Owatonna Public School District,30.0,829.0,1.0,Waseca Public School District
3178,23-24,761.0,1.0,Owatonna Public School District,6.0,833.0,1.0,South Washington County Schools
3179,23-24,761.0,1.0,Owatonna Public School District,1.0,834.0,1.0,Stillwater Area Public Schools
3180,23-24,761.0,1.0,Owatonna Public School District,1.0,2071.0,1.0,Lake Crystal-Wellcome Memorial
3181,23-24,761.0,1.0,Owatonna Public School District,31.0,2125.0,1.0,Triton School District
3182,23-24,761.0,1.0,Owatonna Public School District,1.0,2134.0,1.0,United South Central School District
3183,23-24,761.0,1.0,Owatonna Public School District,7.0,2143.0,1.0,Waterville-Elysian-Morristown Public School District
3184,23-24,761.0,1.0,Owatonna Public School District,39.0,2168.0,1.0,NRHEG School District
3185,23-24,763.0,1.0,Medford Public School District,209.0,656.0,1.0,Faribault Public School District
3186,23-24,763.0,1.0,Medford Public School District,175.0,761.0,1.0,Owatonna Public School District
3187,23-24,763.0,1.0,Medford Public School District,2.0,829.0,1.0,Waseca Public School District
3188,23-24,763.0,1.0,Medford Public School District,1.0,2125.0,1.0,Triton School District
3189,23-24,763.0,1.0,Medford Public School District,21.0,2143.0,1.0,Waterville-Elysian-Morristown Public School District
3190,23-24,763.0,1.0,Medford Public School District,1.0,2168.0,1.0,NRHEG School District
3191,23-24,763.0,1.0,Medford Public School District,5.0,2172.0,1.0,Kenyon-Wanamingo School District
3192,23-24,768.0,1.0,Hancock Public School District,2.0,206.0,1.0,Alexandria Public School District
3193,23-24,768.0,1.0,Hancock Public School District,3.0,771.0,1.0,Chokio-Alberta Public Schools
3194,23-24,768.0,1.0,Hancock Public School District,44.0,777.0,1.0,Benson Public School District
3195,23-24,768.0,1.0,Hancock Public School District,15.0,2149.0,1.0,Minnewaska School District
3196,23-24,768.0,1.0,Hancock Public School District,96.0,2769.0,1.0,Morris Area Public Schools
3197,23-24,768.0,1.0,Hancock Public School District,6.0,2853.0,1.0,Lac qui Parle Valley School District
3198,23-24,771.0,1.0,Chokio-Alberta Public Schools,1.0,181.0,1.0,Brainerd Public School District
3199,23-24,771.0,1.0,Chokio-Alberta Public Schools,3.0,264.0,1.0,Herman-Norcross School District
3200,23-24,771.0,1.0,Chokio-Alberta Public Schools,2.0,801.0,1.0,Browns Valley Public School District
3201,23-24,771.0,1.0,Chokio-Alberta Public Schools,21.0,2769.0,1.0,Morris Area Public Schools
3202,23-24,771.0,1.0,Chokio-Alberta Public Schools,6.0,2888.0,1.0,Clinton-Graceville-Beardsley
3203,23-24,771.0,1.0,Chokio-Alberta Public Schools,2.0,2903.0,1.0,Ortonville Public Schools
3204,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,1.0,129.0,1.0,Montevideo Public School District
3205,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,29.0,345.0,1.0,New London-Spicer School District
3206,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,186.0,347.0,1.0,Willmar Public School District
3207,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,50.0,777.0,1.0,Benson Public School District
3208,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,50.0,2180.0,1.0,MACCRAY School District
3209,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,1.0,2342.0,1.0,West Central Area
3210,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,8.0,2364.0,1.0,Belgrade-Brooten-Elrosa Public School District
3211,23-24,775.0,1.0,Kerkhoven-Murdock-Sunburg,1.0,2534.0,1.0,Bird Island-Olivia-Lake Lillian Public School District
3212,23-24,777.0,1.0,Benson Public School District,1.0,31.0,1.0,Bemidji Public School District
3213,23-24,777.0,1.0,Benson Public School District,1.0,129.0,1.0,Montevideo Public School District
3214,23-24,777.0,1.0,Benson Public School District,2.0,345.0,1.0,New London-Spicer School District
3215,23-24,777.0,1.0,Benson Public School District,1.0,625.0,1.0,Saint Paul Public Schools
3216,23-24,777.0,1.0,Benson Public School District,3.0,768.0,1.0,Hancock Public School District
3217,23-24,777.0,1.0,Benson Public School District,2.0,775.0,1.0,Kerkhoven-Murdock-Sunburg
3218,23-24,777.0,1.0,Benson Public School District,9.0,2149.0,1.0,Minnewaska School District
3219,23-24,777.0,1.0,Benson Public School District,1.0,2190.0,1.0,Yellow Medicine East
3220,23-24,777.0,1.0,Benson Public School District,3.0,2769.0,1.0,Morris Area Public Schools
3221,23-24,777.0,1.0,Benson Public School District,12.0,2853.0,1.0,Lac qui Parle Valley School District
3222,23-24,786.0,1.0,Bertha-Hewitt Public School District,1.0,11.0,1.0,Anoka-Hennepin Public School District
3223,23-24,786.0,1.0,Bertha-Hewitt Public School District,2.0,23.0,1.0,Frazee-Vergas Public School District
3224,23-24,786.0,1.0,Bertha-Hewitt Public School District,2.0,206.0,1.0,Alexandria Public School District
3225,23-24,786.0,1.0,Bertha-Hewitt Public School District,3.0,545.0,1.0,Henning Public School District
3226,23-24,786.0,1.0,Bertha-Hewitt Public School District,3.0,547.0,1.0,Parkers Prairie Public School District
3227,23-24,786.0,1.0,Bertha-Hewitt Public School District,59.0,787.0,1.0,Browerville Public School District
3228,23-24,786.0,1.0,Bertha-Hewitt Public School District,4.0,818.0,1.0,Verndale Public School District
3229,23-24,786.0,1.0,Bertha-Hewitt Public School District,1.0,821.0,1.0,Menahga Public School District
3230,23-24,786.0,1.0,Bertha-Hewitt Public School District,40.0,2155.0,1.0,Wadena-Deer Creek School District
3231,23-24,786.0,1.0,Bertha-Hewitt Public School District,23.0,2170.0,1.0,Staples-Motley School District
3232,23-24,787.0,1.0,Browerville Public School District,1.0,213.0,1.0,Osakis Public School District
3233,23-24,787.0,1.0,Browerville Public School District,4.0,482.0,1.0,Little Falls Community Schools
3234,23-24,787.0,1.0,Browerville Public School District,41.0,786.0,1.0,Bertha-Hewitt Public School District
3235,23-24,787.0,1.0,Browerville Public School District,2.0,2155.0,1.0,Wadena-Deer Creek School District
3236,23-24,787.0,1.0,Browerville Public School District,33.0,2170.0,1.0,Staples-Motley School District
3237,23-24,787.0,1.0,Browerville Public School District,72.0,2753.0,1.0,Long Prairie-Grey Eagle School District
3238,23-24,801.0,1.0,Browns Valley Public School District,14.0,2888.0,1.0,Clinton-Graceville-Beardsley
3239,23-24,803.0,1.0,Wheaton Area Public School District,5.0,264.0,1.0,Herman-Norcross School District
3240,23-24,803.0,1.0,Wheaton Area Public School District,10.0,801.0,1.0,Browns Valley Public School District
3241,23-24,803.0,1.0,Wheaton Area Public School District,6.0,852.0,1.0,Campbell-Tintah Public School District
3242,23-24,803.0,1.0,Wheaton Area Public School District,2.0,2342.0,1.0,West Central Area
3243,23-24,803.0,1.0,Wheaton Area Public School District,18.0,2888.0,1.0,Clinton-Graceville-Beardsley
3244,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,1.0,1.0,Aitkin Public School District
3245,23-24,811.0,1.0,Wabasha-Kellogg Public School District,17.0,1.0,3.0,Minneapolis Public School District
3246,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,2.0,1.0,Hill City Public School District
3247,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,4.0,1.0,McGregor Public School District
3248,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,6.0,3.0,South St. Paul Public School District
3249,23-24,811.0,1.0,Wabasha-Kellogg Public School District,12.0,11.0,1.0,Anoka-Hennepin Public School District
3250,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,12.0,1.0,Centennial Public School District
3251,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,13.0,1.0,Columbia Heights Public School District
3252,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,14.0,1.0,Fridley Public School District
3253,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,16.0,1.0,Spring Lake Park Public Schools
3254,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,23.0,1.0,Frazee-Vergas Public School District
3255,23-24,811.0,1.0,Wabasha-Kellogg Public School District,6.0,31.0,1.0,Bemidji Public School District
3256,23-24,811.0,1.0,Wabasha-Kellogg Public School District,6.0,32.0,1.0,Blackduck Public School District
3257,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,38.0,1.0,Red Lake Public School District
3258,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,47.0,1.0,Sauk Rapids-Rice Public Schools
3259,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,51.0,1.0,Foley Public School District
3260,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,77.0,1.0,Mankato Public School District
3261,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,88.0,1.0,New Ulm Public School District
3262,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,93.0,1.0,Carlton Public School District
3263,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,97.0,1.0,Moose Lake Public School District
3264,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,108.0,1.0,Central Public School District
3265,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,112.0,1.0,Eastern Carver County Public Schools
3266,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,113.0,1.0,Walker-Hackensack-Akeley School District
3267,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,116.0,1.0,Pillager Public School District
3268,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,118.0,1.0,Northland Community Schools
3269,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,129.0,1.0,Montevideo Public School District
3270,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,138.0,1.0,North Branch Area Public Schools
3271,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,139.0,1.0,Rush City Public School District
3272,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,150.0,1.0,Hawley Public School District
3273,23-24,811.0,1.0,Wabasha-Kellogg Public School District,19.0,152.0,1.0,Moorhead Area Public School District
3274,23-24,811.0,1.0,Wabasha-Kellogg Public School District,9.0,181.0,1.0,Brainerd Public School District
3275,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,191.0,1.0,Burnsville-Eagan-Savage School District
3276,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,192.0,1.0,Farmington Public School District
3277,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,194.0,1.0,Lakeville Area Schools
3278,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,196.0,1.0,Rosemount-Apple Valley-Eagan
3279,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,199.0,1.0,Inver Grove Heights Schools
3280,23-24,811.0,1.0,Wabasha-Kellogg Public School District,11.0,200.0,1.0,Hastings Public School District
3281,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,204.0,1.0,Kasson-Mantorville School District
3282,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,213.0,1.0,Osakis Public School District
3283,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,229.0,1.0,Lanesboro Public School District
3284,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,241.0,1.0,Albert Lea Public School District
3285,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,255.0,1.0,Pine Island Public School District
3286,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,256.0,1.0,Red Wing Public School District
3287,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,271.0,1.0,Bloomington Public School District
3288,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,272.0,1.0,Eden Prairie Public School District
3289,23-24,811.0,1.0,Wabasha-Kellogg Public School District,9.0,279.0,1.0,Osseo Public School District
3290,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,281.0,1.0,Robbinsdale Public School District
3291,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,283.0,1.0,St. Louis Park Public School District
3292,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,284.0,1.0,Wayzata Public School District
3293,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,299.0,1.0,Caledonia Public School District
3294,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,309.0,1.0,Park Rapids Public School District
3295,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,314.0,1.0,Braham Public School District
3296,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,317.0,1.0,Deer River Public School District
3297,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,318.0,1.0,Grand Rapids Public School District
3298,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,330.0,1.0,Heron Lake-Okabena School District
3299,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,345.0,1.0,New London-Spicer School District
3300,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,347.0,1.0,Willmar Public School District
3301,23-24,811.0,1.0,Wabasha-Kellogg Public School District,5.0,361.0,1.0,International Falls School District
3302,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,363.0,1.0,South Koochiching School District
3303,23-24,811.0,1.0,Wabasha-Kellogg Public School District,4.0,413.0,1.0,Marshall Public School District
3304,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,424.0,1.0,Lester Prairie Public School District
3305,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,441.0,1.0,Marshall County Central Schools
3306,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,463.0,1.0,Eden Valley-Watkins School District
3307,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,465.0,1.0,Litchfield Public School District
3308,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,466.0,1.0,Dassel-Cokato Public School District
3309,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,473.0,1.0,Isle Public School District
3310,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,477.0,1.0,Princeton Public School District
3311,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,482.0,1.0,Little Falls Community Schools
3312,23-24,811.0,1.0,Wabasha-Kellogg Public School District,3.0,484.0,1.0,Pierz Public School District
3313,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,485.0,1.0,Royalton Public School District
3314,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,492.0,1.0,Austin Public School District
3315,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,511.0,1.0,Adrian Public School District
3316,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,518.0,1.0,Worthington Public School District
3317,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,533.0,1.0,Dover-Eyota Public School District
3318,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,534.0,1.0,Stewartville Public School District
3319,23-24,811.0,1.0,Wabasha-Kellogg Public School District,6.0,535.0,1.0,Rochester Public School District
3320,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,544.0,1.0,Fergus Falls Public School District
3321,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,545.0,1.0,Henning Public School District
3322,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,549.0,1.0,Perham-Dent Public School District
3323,23-24,811.0,1.0,Wabasha-Kellogg Public School District,2.0,553.0,1.0,New York Mills Public School District
3324,23-24,811.0,1.0,Wabasha-Kellogg Public School District,1.0,564.0,1.0,Thief River Falls School District
